Actual Spoken Hook,Spoken Hook Framework,Spoken Hook Structure,Visual Hook | Graphic Selection,Visual Hook | Visual Movemen,Visual Hook | Layout Structrure,Text Hook | Word Structure,Text Hook | Layout,Text Hook | Motion,Audio Hook | Structure,Audio Hook | Specifics,Video Link,Niche,Content Type,Performance (out of top 10 on channel),Views
Check this out. This company lets you order sunlight on demand. It's like Uber Eats for the sun.,Check this out. This company lets you [X impossible service]. It's like [Y familiar service] for [Z unexpected thing],Secret Reveal,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll","A-Roll - Quick Zoom, B-Roll - Quick Cuts","Full screen A-roll (in studio), Split screen A-roll + B-roll",[X subject] does [Y thing],Text on Colored Background,Swipes In,Music + SFX,Riser SFX,https://www.instagram.com/kallaway/reel/DA8kxupvEzk/,Tech,Entertainment,3,"10,974,071"
"The tech in the Vegas Sphere is insane. Biggest screen ever built, 20 times bigger than an IMAX. But get this, the screen is actually the least impressive part of the whole thing because the most impressive part is the audio. This is gonna blow your mind.","The tech in [X venue] is insane. [Y impressive fact]. But get this, [Z expected highlight] is actually the least impressive part of the whole thing because the most impressive part is [unexpected element]. This is gonna blow your mind",Secret Reveal,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll","A-Roll - Crash Zoom, B-Roll - Quick Cuts","Full screen A-roll (in studio), Split screen A-roll + B-roll",Future of [X thing],Text on Colored Background,Swipes In,Music + SFX,Riser SFX,https://www.instagram.com/kallaway/reel/DCEseIrPwEx/,Tech,Entertainment,4,"7,960,405"
"This company 3D printed an entire neighborhood. All those houses were printed with those giant machines. But get this, because they're printed, people can design wild looking homes that are actually affordable to build.","This company [X method] an entire [Y project scale]. [Z how it's done]. But get this, because they're [X], people can [unexpected benefit]",Secret Reveal,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll","A-Roll - Quick Zoom, B-Roll - Quick Cuts","Full screen A-roll (in studio), Split screen A-roll + B-roll",[X subject] does [Y thing],Text on Colored Background,Swipes In,Music + SFX,Riser SFX,https://www.instagram.com/kallaway/reel/DBeET9BPKaU/,Tech,Entertainment,5,"7,942,673"
"This is Faye. She's eight years old, and she just built this entire Harry Potter website in like 45 minutes. She doesn't even know how to code. All she did was type English into this new coding tool, Cursor.","This is [X person]. She's [Y age] years old, and she just built this entire [Z project] in like [time]. She doesn't even know how to [expected skill]. All she did was [simple action] into this new [tool]",Secret Reveal,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll","A-Roll - Crash Zoom, B-Roll - Quick Cuts","Full screen A-roll (in studio), Split screen A-roll + B-roll",Captions (repeat of spoken),Text on Colored Background,Swipes In,Music + SFX,Riser SFX,https://www.instagram.com/kallaway/reel/C_fybshJ8Qz/,Tech,Entertainment,6,"7,313,783"
"Something crazy is happening with Stanley Cups. You ever seen one of these? Stanley Cup, racking up 6.7 billion views. This 40 ounce Stanley quencher has become the Louis Vuitton of drinkware.","Something crazy is happening with [X product]. You ever seen one of these? [X], racking up [Y metric]. This [Z description] has become the [luxury brand] of [category]",Secret Reveal,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll","A-Roll - Crash Zoom, B-Roll - Quick Cuts","Full screen A-roll (in studio), Full screen B-roll, Split screen A-roll + B-roll",Captions (repeat of spoken),Text on Colored Background,Swipes In,Music + SFX,Riser SFX,https://www.instagram.com/kallaway/reel/C19yRqHrhVz/,Content Marketing,Entertainment,7,"5,748,033"
And I don't think I've ever heard you answer this. How do you go about building these AI tools for creators that are infinitely useful but also maintain that authenticity and that human connection?,And I don't think I've ever heard you answer this. How do you go about [X complex challenge]?,Question,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts","Full screen A-roll (in studio), Split screen A-roll + B-roll",Captions (repeat of spoken),Text on Colored Background,Swipes In,Music + SFX,Riser SFX,https://www.instagram.com/kallaway/reel/C8uZzh0pvPN/,Tech,Education,8,"4,213,574"
"Check this out, this headband is gonna revolutionize the way we sleep. It's called the Elemind. And the people that use it fall asleep way faster than normal. It's pretty crazy.","Check this out, this [X device] is gonna revolutionize the way we [Y activity]. It's called the [Z name]. And the people that use it [benefit]. It's pretty crazy",Secret Reveal,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll","A-Roll - Crash Zoom, B-Roll - Quick Cuts","Full screen A-roll (in studio), Split screen A-roll + B-roll",[X shocking thing],Text on Colored Background,Swipes In,Music + SFX,Riser SFX,https://www.instagram.com/kallaway/reel/DGyDvJ7PHbA/,Tech,Entertainment,9,"3,443,148"
"Check this out, this company built an AI headset that lets you control your dreams. Imagine Inception, but in real life, whenever you want. And they do this by activating lucid dreams. It's insane.","Check this out, this company built [X product] that lets you [Y capability]. Imagine [Z pop culture reference], but in real life, whenever you want. And they do this by [method]. It's insane",Secret Reveal,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll","A-Roll - Crash Zoom, B-Roll - Quick Cuts","Full screen A-roll (in studio), Split screen A-roll + B-roll",[X subject] does [Y thing],Text on Colored Background,Swipes In,Music + SFX,Riser SFX,https://www.instagram.com/kallaway/reel/DFNkYyyPB8s/,Tech,Entertainment,10,"3,242,375"
Do you realize that every video that you watch today is using this technique to keep you hooked? It's called Pope in the Pool and I'm doing it right now.,Do you realize that every [X content] that you watch today is using this technique to keep you hooked? It's called [Y technique] and I'm doing it right now,Question,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Text on Colored Background,No Motion,Music only,Light Classical,https://www.instagram.com/viralvideo.club/reel/DFNiMQiubqS/,Content Marketing,Education,1,"1,300,148"
"This is the exact same video, but the second time it was posted, it got 21.4 times more views. And it's all because of one simple strategy, you can steal. The second video ends right after the payoff.","This is the exact same [X content], but the second time it was posted, it got [Y multiplier] times more [Z metric]. And it's all because of one simple strategy, you can steal. [Strategy]",Comparison,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - None","Full screen A-roll (in studio), Split screen A-roll + B-roll",Captions (repeat of spoken),Text on Colored Background,Swipes In,Music + SFX,Riser SFX,https://www.instagram.com/viralvideo.club/reel/DBbhGuko0Yn/,Content Marketing,Education,2,"562,248"
Steal these viral hooks,Steal these [X content element],Raw Shock,Creator in B-Roll,"A-Roll - Crash Zoom, B-Roll - Quick Cuts",Full screen A-roll (in world),[X shocking thing],Text Written On Prop,No Motion,No audio,None,https://www.instagram.com/viralvideo.club/reel/DEFHFaoov-L/,Content Marketing,Entertainment,5,"378,818"
"I might post tomorrow. Rain or shine, I post daily.",[X weak commitment]. [Y strong opposite commitment],Comparison,Creator A-Roll,"A-Roll - None, B-Roll - None",Full screen A-roll (in world),[X numbers] vs [Y numbers],Text with Shadow,No Motion,Music only,Upbeat music,https://www.instagram.com/viralvideo.club/reel/DIBWpwdIxfo/,Content Marketing,Entertainment,6,"376,337"
The writer of Rick and Morty might have just given the best advice I've ever heard on writer's block. Watch the video and then I'll share my thoughts.,[X person] just gave the best advice I’ve ever heard on [Y problem],Secret Reveal,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - None",Split screen A-roll + B-roll,Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/viralvideo.club/reel/DIyeEBTI-wG/,Content Marketing,Education,7,"267,469"
"I have a question for you. Which one is the real me? Is it me, or is it me? Here's how I made her.","I have a question for you. Which one is the real [X]? Is it [Y], or is it [Y]? Here's how I made [Z]",Experimentation,Creator A-Roll,"A-Roll - None, B-Roll - None",Full screen A-roll (in world),Captions (repeat of spoken),Text with Shadow,No Motion,Music + SFX,Upbeat Music + SFX,https://www.instagram.com/covacut/reel/DHpN0wASfSu/,Content Marketing,Entertainment,1,"9,662,976"
"This is how to transform your scenes using AI, explained in one minute. Welcome back to another episode of Edit Like It's 3005, a series where I break down next-generation effects.","This is how to [X technique] using AI, explained in [Y time]. Welcome back to another episode of [Z series], a series where I break down [content type]",Educational/Tutorial,Creator A-Roll,A-Roll - Slow Zoom,Full screen A-roll (in world),Captions (repeat of spoken),Text with Shadow,No Motion,Music + SFX,Upbeat Music + SFX,https://www.instagram.com/covacut/reel/DJN0OgcxivE/,Content Marketing,Education,2,"2,218,165"
"Hey, I'm Cole. I'm a video creator and computer science student, and I'm challenging myself to reach 20,000 followers before I graduate. Why am I doing this? Well, when was the last time you had to let go of something?","Hey, I'm [X name]. I'm a [Y role] and [Z role], and I'm challenging myself to [specific goal]. Why am I doing this? Well, [philosophical question]?",Educational/Tutorial,Creator in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Text with Shadow,No Motion,Music + SFX,Upbeat Music + SFX,https://www.instagram.com/covacut/reel/DG4iTVTR3fP/,Content Marketing,Education,3,"717,304"
"People always ask me how I get lighting like this, this, and this in my videos. So here's my hack. The 2 and 2 rule. Welcome to another episode of Video Making 101.","People always ask me how I get [X element] like this, this, and this in my videos. So here's my hack. The [Y rule]. Welcome to another episode of [Z series]",Educational/Tutorial,"Creator A-Roll, Creator in B-Roll","A-Roll - None, B-Roll - Quick Cuts","Full screen A-roll (in world), Full screen B-roll",Captions (repeat of spoken),Text with Shadow,No Motion,Music + SFX,Upbeat Music + SFX,https://www.instagram.com/covacut/reel/DGRm-73StNt/,Content Marketing,Education,4,"430,644"
"Adding 3D objects to your scenes is not that hard, and here's how to do it in three simple steps. Welcome to Edit Like It's 3005, a series where I break down futuristic effects.","[X task] is not that hard, and here's how to do it in [Y number] simple steps. Welcome to [Z series], a series where I break down [content type]",Educational/Tutorial,Creator A-Roll,"A-Roll - None, B-Roll - 3D Effect",Full screen A-roll (in world),Captions (repeat of spoken),Text with Shadow,No Motion,Music + SFX,Upbeat Music + SFX,https://www.instagram.com/covacut/reel/DFJc0jiPGlX/,Content Marketing,Education,5,"419,046"
"Portals! Here's how to create one in three steps. Welcome back to another episode of Edit Like It's 3005, a series where we break down futuristic effects.","[X effect]! Here's how to create one in [Y number] steps. Welcome back to another episode of [Z series], a series where we break down [content type]",Secret Reveal,Creator A-Roll,"A-Roll - None, B-Roll - 3D Effect",Full screen A-roll (in world),Captions (repeat of spoken),Text with Shadow,No Motion,Music + SFX,Upbeat Music + SFX,https://www.instagram.com/covacut/reel/DIINP6wJVMX/,Tech,Entertainment,6,"363,972"
"This is the magic text effect, and here's how to do it in less than 30 seconds. Welcome to another episode of Edit Like It's 3005, a series where I show you how to create futuristic effects.","This is the [X effect], and here's how to do it in less than [Y time]. Welcome to another episode of [Z series], a series where I show you how to create [content type]",Educational/Tutorial,Creator A-Roll,"A-Roll - Slow Zoom, B-Roll - 3D Effect, B-roll - Text Overlays","Full screen A-roll (in world), Full screen B-roll",Captions (repeat of spoken),Text with Shadow,No Motion,Music + SFX,Upbeat Music + SFX,https://www.instagram.com/covacut/reel/DF6nuDVpezl/,Tech,Education,7,"272,685"
"I know I pretend to be an AI human sometimes, but here's a real day in my life as a Stanford CS student.","I know I [X persona] sometimes, but here's a real day in my life as a [Y identity]",Secret Reveal,"Creator A-Roll, Creator in B-Roll","A-Roll - None, B-Roll - Quick Cuts","Full screen A-roll (in world), Full screen B-roll",Captions (repeat of spoken),Text with Shadow,No Motion,Music + SFX,Upbeat Music + SFX,https://www.instagram.com/covacut/reel/DHcgor9xojD/,Tech,Entertainment,8,"243,812"
